State,Value
1366,10
10843,10
4282,10
16675,10
15946,10
2824,10
7198,10
637,10
12787,10
6226,10
17161,0
14974,0
1852,0
16918,0
3796,0
8170,10
1609,10
18619,10
17890,10
4768,10
5254,10
11086,10
4525,10
13516,0
14002,10
15460,0
13273,10
151,10
5578,-10
16513,0
14326,0
1204,-10
10681,10
4120,10
15784,0
2662,0
7036,10
475,10
17080,0
3958,0
8332,10
1771,10
18538,10
5416,-10
11248,10
4687,10
14164,0
15622,0
13435,0
313,0
3634,-10
16270,0
3148,-10
8008,-10
11896,-10
7522,-10
961,-10
16594,10
3472,-10
12301,10
12220,10
7846,-10
1285,10
11734,-10
5173,10
16108,0
13921,10
799,-10
9466,-10
10438,10
8980,-10
2419,0
10762,10
9304,-10
2743,10
10276,10
3715,10
15379,0
2257,0
6793,10
7117,10
8089,10
11005,10
6631,10
70,10
1420,10
10897,0
4336,0
16729,10
16000,10
2878,0
8710,0
11626,-10
7252,-10
691,10
6280,-10
17215,0
15028,0
1906,-10
16972,0
3850,0
12598,-10
8224,-10
1663,0
4579,-10
17944,-10
13570,-10
14056,10
15514,0
13327,10
205,-10
17188,0
4066,0
8440,10
1879,10
4795,-10
18646,-10
14272,-10
15730,0
13543,0
421,-10
16702,10
3580,-10
12328,-10
7954,-10
1393,10
5281,-10
16216,0
14029,10
907,-10
10870,0
9412,-10
2851,0
10384,0
3823,0
15487,0
2365,0
7225,-10
8197,10
11113,-10
6739,-10
178,0
13003,10
6442,10
17377,0
15190,0
2068,0
17296,0
4174,0
12922,10
8548,0
1987,0
18835,10
18106,10
4984,10
5632,10
11464,-10
4903,10
13732,0
14380,10
15838,0
13651,10
529,0
17350,0
4228,0
8602,10
2041,10
5686,10
11518,10
4957,10
14434,10
15892,0
13705,10
583,10
12166,-10
5605,10
16540,10
14353,10
1231,10
10708,0
4147,0
15811,10
2689,0
8521,10
11437,10
7063,-10
502,10
19078,-10
5956,-10
19240,-10
6118,-10
12436,-10
5875,-10
14704,-10
14866,-10
16810,0
14623,0
1501,-10
19294,-10
6172,-10
12490,10
5929,10
14920,-10
16864,0
14677,0
1555,0
12652,10
6091,10
17026,0
14839,0
1717,0
16783,0
3661,0
12409,10
8035,10
1474,10
17620,-10
17782,-10
18268,10
17539,10
4417,-10
17836,-10
18322,10
17593,10
